GENE_SYMBOL,NUM_PATHWAYS
WNT6,15
WNT7A,15
WNT2,15
WNT10A,15
GRIA1,15
WNT10B,15
ALDH7A1,15
GCK,15
IRF9,15
WNT11,15
CACNA1B,15
ALDH2,15
ALDH3A2,15
SP1,15
FZD8,15
PXN,15
EIF4EBP1,15
FZD7,15
HK3,15
HKDC1,15
HK1,15
HK2,15
WNT9B,15
FZD5,15
WNT8B,15
WNT9A,15
FZD4,15
TGFA,15
FZD6,15
THBS1,15
SLC25A31,15
SLC25A4,15
SLC25A5,15
SLC25A6,15
ALDH1B1,15
FZD1,15
FYN,15
FZD10,15
FZD2,15
MYL9,15
VAV1,15
RYR2,15
VAV2,15
CD14,15
VAV3,15
FGF2,15
DVL1,15
DVL3,15
DVL2,15
CYBB,15
RHEB,14
CXCR4,14
MYL2,14
FN1,14
RRAS,14
PIK3CG,14
UQCRFS1,14
HIF1A,14
XIAP,14
TUBA3C,14
TUBA1C,14
TUBA1B,14
MAOB,14
MAOA,14
ATM,14
CASP7,14
TUBA3D,14
TUBA1A,14
LAMA1,14
ITGAL,14
CXCL2,14
CXCL3,14
TUBA8,14
TUBAL3,14
PDGFD,14
PDGFC,14
TUBA3E,14
CD4,14
CD40LG,14
TUBA4A,14
EIF2AK3,14
SOCS3,14
AXIN2,14
CDH1,14
CD86,14
GRIA3,14
AXIN1,14
SDHC,14
SDHB,14
LAMA2,14
SDHA,14
SDHD,14
CXCL1,14
TSC1,13
NDUFA6,13
NDUFA5,13
NDUFS6,13
CAMK4,13
COL4A4,13
PRKCE,13
SLC2A1,13
COL1A2,13
UQCRC1,13
UQCRB,13
UQCRHL,13
COL1A1,13
FGFR3,13
TRAF5,13
RXRB,13
SIRT1,13
FGFR2,13
RBX1,13
CYTB,13
PCK2,13
NDUFB11,13
NDUFB10,13
NDUFB1,13
NDUFB6,13
NDUFB5,13
COX1,13
COX6A1,13
COX5B,13
COL4A6,13
NDUFB4,13
NDUFB3,13
NDUFS5,13
NDUFA1,13
NDUFA10,13
NDUFA11,13
NDUFS7,13
NDUFAB1,13
NDUFB2,13
IRF7,13
UGT2B17,13
UGT2A2,13
NDUFV2,13
IL1R1,13
PPP2R2A,13
NFATC4,13
PPP2R2B,13
COX6A2,13
COX5A,13
COX4I2,13
COX4I1,13
COX3,13
COX2,13
NDUFS2,13
NDUFS3,13
LYN,13
CD28,13
NDUFS1,13
UGT2B4,13
NDUFB8,13
NDUFS8,13
NDUFA13,13
NDUFA2,13
NDUFS4,13
NDUFA9,13
NDUFA3,13
COL4A5,13
MAP3K14,13
UQCRC2,13
COL4A1,13
COL4A2,13
COL4A3,13
ADRB1,13
NDUFA7,13
NDUFA8,13
UQCR11,13
UQCR10,13
UQCRQ,13
ITGA3,13
PCK1,13
UQCRH,13
RXRG,13
NDUFB7,13
UGT2B7,13
NDUFA12,13
UGT1A10,13
UGT1A5,13
UGT1A7,13
UGT1A8,13
IRS4,13
GNA13,13
UGT1A3,13
UGT1A6,13
cytochrome c oxidase subunit NDUFA4-like,13
ITGB7,13
COX7A2,13
COX6C,13
COX7B,13
COX7B2,13
COX6B2,13
UGT1A9,13
ITGB5,13
CYC1,13
UGT1A4,13
COXFA4L2,13
UGT2A3,13
IL5,13
UGT1A1,13
COX7A2L,13
COX8A,13
COX8C,13
COXFA4,13
UGT2B15,13
UGT2B11,13
UGT2B10,13
NDUFC2,13
NDUFC2-KCTD14,13
UGT2A1,13
PFKL,13
PFKM,13
PFKP,13
NDUFV3,13
NDUFV1,13
COX6B1,13
UGT2B28,13
PPP2R2C,13
CD36,13
NDUFC1,13
NDUFB9,13
ALDH9A1,13
PPP2R2D,13
COX7C,13
COX7A1,13
FCGR2A,12
CCNA2,12
MGST1,12
MGST3,12
ACAT1,12
CSF1,12
SKP1,12
ABL1,12
BECN1,12
BECN2,12
KDR,12
ND4,12
ND3,12
ND2,12
DRD1,12
NLRP3,12
SLC8A3,12
HSPA1B,12
HSPA1L,12
SLC8A1,12
PRKCQ,12
HSPA1A,12
CHRM3,12
MGST2,12
HSPA6,12
SLC8A2,12
HSPA8,12
BCAR1,12
tubulin beta 8B,12
GSTA4,12
CCNA1,12
GSTA5,12
GSTT1,12
GSTT2,12
GSTT2B,12
GSTT4,12
GSTA1,12
GSTA2,12
GSTA3,12
GSTO2,12
ND4L,12
ND5,12
ND6,12
NCF1,12
ND1,12
ACAT2,12
GSTM4,12
GSTO1,12
TUBB6,12
TUBB8,12
TUBB8B,12
ATP6V0D1,12
G6PC3,12
ATP6V0D2,12
GSTM3,12
GSTM2,12
GSTM1,12
PPIF,12
G6PC2,12
G6PC1,12
PPARG,12
CD80,12
ACOX3,12
ACOX1,12
GSTM5,12
PYCARD,12
GRM5,12
TUBB,12
EDN1,12
TUBB3,12
TUBB4A,12
TUBB4B,12
IL2RG,12
IL6R,12
TUBB1,12
TUBB2A,12
TUBB2B,12
GOT2,12
GNA12,12
CXCL10,12
PAK2,11
CYBA,11
PAK3,11
NPR1,11
FGF23,11
VEGFD,11
VEGFC,11
PSMC1,11
RPTOR,11
FGF9,11
FGF8,11
FGF7,11
FGF6,11
KIT,11
FGF22,11
FGF21,11
FGF20,11
CCR5,11
GUCY1B1,11
GUCY1A2,11
PRKG2,11
PRKG1,11
FCGR1A,11
FGF4,11
CSNK2B,11
ITGB8,11
FGF3,11
MYL12B,11
MYL12A,11
ARHGEF12,11
CAT,11
HSP90B1,11
CPT1B,11
